English Name,Energy (kcal),Total Carbohydrate,Protein,Total Fat,Saturated Fat,Chol,Total Dietary Fiber,Total Sugars,Calcium,Sodium,Restaurant,Item type,main food type,ingredient_category,spicy,sweet,salty,sour,vegetiarian,gluten,milk,egg,fish,crustaceans,price
Egg_Mayo,671,39,16,20,4,7,3,5,0,405,3,1,5,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,28
Italian_BMT,397,41,20,17,6,48,3,6,0,1071,3,1,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32
Spicy_Italian,465,41,20,25,9,57,3,6,0,1228,3,1,5,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32
Steak_&_Cheese,365,40,26,10,5,0,3,5,0,776,3,1,5,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,36
Subway_Melt_(includes_cheese),345,42,23,10,4,24,3,6,0,957,3,1,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,36
Tuna,461,39,20,25,4,34,3,5,0,558,3,1,5,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,32
Vegan_Supreme,389,54,16,11,3,0,8,7,0,540,3,1,5,11,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,32
Bacon_&_Egg_&_Cheese,513,40,17,15,4,3,3,5,0,549,3,1,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,32
Egg_&_Cheese,479,39,14,14,4,3,3,5,0,460,3,1,5,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,28
Ham_&_Egg_&_Cheese,508,41,18,15,4,15,3,6,0,718,3,1,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,32
Steak_&_Egg_&_Cheese,536,40,22,17,5,3,3,5,0,656,3,1,5,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,36
BLT_Salad,86,11,5,2,0,0,3,6,0,162,3,1,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28
Chicken_Teriyaki_Salad,151,18,18,2,0,24,4,12,0,567,3,1,4,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
